,Longitude,Latitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,geometry
999777,698914.73098,1641857.0136,-77.33318,78.831245,0.000512344,0.15917766,1721.9584,18063.418,23350.85,5992.1064,1721.9584,0.61538464,48794.883,2565.6868,16488.057,POINT (698914.73098 1641857.0136)
1194319,747514.73098,1622757.0136,-76.53196,80.01173,0.0009118087,0.8106169,7578.778,15675.335,10971.583,4772.5356,7578.778,0.7692308,19911.887,35879.45,5779.9272,POINT (747514.73098 1622757.0136)
877253,740114.73098,1653957.0136,-88.02615,-139.86626,-0.001666305,0.0980694,1697.2687,11228.031,7392.405,4698.9497,1697.2687,0.9230769,7152.262,10883.37,10112.285,POINT (740114.73098 1653957.0136)
448198,709814.73098,1696157.0136,-76.43605,-95.44724,0.003693758,-0.2806965,1615.3767,2250.1643,1708.123,4292.113,1615.3767,0.9230769,56432.742,6211.8804,3098.2705,POINT (709814.73098 1696157.0136)
1531379,722314.73098,1589557.0136,-70.98426,-29.963955,0.0007009809,0.008296925,4318.813,43149.777,25400.45,3474.2375,4318.813,1.0,23829.871,35241.844,81.963,POINT (722314.73098 1589557.0136)
184828,788814.73098,1722157.0136,-99.97956,21.367035,-0.0012377648,-0.034737576,8889.174,35010.336,32669.55,3812.9497,8889.174,0.6923077,734.4467,4642.891,8983.892,POINT (788814.73098 1722157.0136)
1511590,775414.73098,1591557.0136,-84.37998,-46.440887,0.00057080685,0.010557794,16917.16,955.71564,3259.8696,7517.7393,955.71564,0.46153846,7509.0054,56548.094,10252.421,POINT (775414.73098 1591557.0136)
384892,780014.73098,1702457.0136,-93.79276,-28.357275,0.0006076751,-0.030421542,4996.8374,13532.462,13574.85,6276.049,4996.8374,0.6923077,777.11475,9345.573,1160.9019,POINT (780014.73098 1702457.0136)
1466567,743514.73098,1595957.0136,-82.954155,-77.053024,-0.0005127047,0.04624259,6377.5327,29308.504,5893.716,3664.7222,6377.5327,1.0,8745.662,47983.08,6877.2114,POINT (743514.73098 1595957.0136)
1451456,756414.73098,1597457.0136,-81.68897,69.82701,0.001126039,0.07396206,15316.703,17895.553,10493.219,1762.8013,15316.703,0.61538464,3032.3677,52216.367,5865.3667,POINT (756414.73098 1597457.0136)
606896,730014.73098,1680557.0136,-79.710396,19.652552,-4.7051974e-05,0.19250473,18773.432,24923.14,23885.01,6129.9106,18773.432,0.84615386,30916.996,12743.953,1408.995,POINT (730014.73098 1680557.0136)
201046,785014.73098,1720557.0136,-98.61065,45.703983,-0.0012712665,0.11507071,8834.647,32310.334,28586.154,2525.1292,8834.647,0.6923077,1762.8735,5667.218,5295.479,POINT (785014.73098 1720557.0136)
1022360,722014.73098,1639657.0136,-78.85647,-60.78567,0.0016353109,0.06698035,184.29572,25889.578,20910.443,9179.914,184.29572,0.84615386,27381.764,6868.7285,11194.383,POINT (722014.73098 1639657.0136)
136926,773814.73098,1726857.0136,-89.124725,11.947388,0.0010487569,-0.035043422,19634.826,36473.293,24117.191,5127.0234,19634.826,0.7692308,12018.043,1946.9503,4842.3438,POINT (773814.73098 1726857.0136)
309675,776714.73098,1709857.0136,-93.11356,-68.926544,-0.00024579052,-0.13298132,3105.5583,20034.86,16644.895,949.0949,3105.5583,0.6923077,7118.6094,1551.0197,6227.767,POINT (776714.73098 1709857.0136)
211715,734314.73098,1719457.0136,-86.74849,-69.139244,0.000511772,-0.15303273,7193.11,35246.035,15619.623,5692.0996,7193.11,0.84615386,46837.22,4441.1494,3290.1052,POINT (734314.73098 1719457.0136)
212750,736214.73098,1719357.0136,-87.06835,-50.256683,0.0003822887,0.12721421,7833.8877,36777.44,13919.014,5300.9434,7833.8877,0.84615386,45031.23,5285.914,1520.8086,POINT (736214.73098 1719357.0136)
1572622,782614.73098,1585557.0136,-89.824196,62.633423,-0.00082046894,0.26781192,14699.54,5368.173,11777.315,1250.4724,5368.173,0.9230769,2340.694,57336.926,14651.785,POINT (782614.73098 1585557.0136)
171791,704314.73098,1723357.0136,-94.10301,-46.673122,0.0008475211,-0.1579847,11851.643,17307.744,21181.848,6640.9956,11851.643,0.7692308,76573.53,1676.5763,2469.8965,POINT (704314.73098 1723357.0136)
1641124,724014.73098,1578757.0136,-68.04221,130.45682,0.0013103866,0.30994248,1351.9272,44601.367,26937.13,5749.196,1351.9272,0.9230769,23729.562,31071.896,4665.1123,POINT (724014.73098 1578757.0136)
1510292,747214.73098,1591657.0136,-78.679756,-449.44028,0.0026801813,-0.3681171,8791.18,24574.812,413.8369,3143.0728,8791.18,0.9230769,3961.2554,44218.25,11441.063,POINT (747214.73098 1591657.0136)
160858,728614.73098,1724457.0136,-86.52976,0.999522,-0.0004899498,0.16946791,11539.921,34124.492,20198.398,7915.353,11539.921,0.84615386,54013.445,2817.0647,5717.522,POINT (728614.73098 1724457.0136)
1221953,767714.73098,1620057.0136,-86.94824,-25.255634,0.0001614335,0.022113785,6545.306,16555.975,13462.28,11193.633,6545.306,0.9230769,3405.4038,49850.91,1230.4741,POINT (767714.73098 1620057.0136)
112991,717114.73098,1729157.0136,-83.95536,-256.4768,0.0023063743,-0.45872828,13894.717,29981.307,31912.576,5290.051,13894.717,0.7692308,66433.23,4900.5664,4398.343,POINT (717114.73098 1729157.0136)
1186563,784714.73098,1623557.0136,-93.31663,-86.26239,-0.00106132,-0.1395087,11721.897,19144.127,29949.906,3909.648,11721.897,0.84615386,12262.451,40631.055,11183.226,POINT (784714.73098 1623557.0136)
551994,726214.73098,1685957.0136,-83.31077,120.22066,-0.0008748058,0.35051498,16409.883,18996.707,17738.27,807.6099,16409.883,0.7692308,37223.223,11598.001,4725.202,POINT (726214.73098 1685957.0136)
28895,740314.73098,1737457.0136,-92.15989,-34.19374,-0.00018559353,-0.15130718,26160.81,51608.777,14811.692,4804.378,26160.81,0.7692308,47056.76,2631.4185,5131.5327,POINT (740314.73098 1737457.0136)
1358127,770714.73098,1606657.0136,-89.153435,49.985188,0.0018684956,0.34216127,1875.4646,10981.548,14308.705,4336.307,1875.4646,0.9230769,3809.6165,61038.74,1352.954,POINT (770714.73098 1606657.0136)
1611591,717114.73098,1581657.0136,-70.38692,227.09254,-0.0020270674,0.62611,3005.9443,40606.06,32127.33,12338.293,3005.9443,0.9230769,29538.39,28568.535,8920.267,POINT (717114.73098 1581657.0136)
